Per capita total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Djibouti,68.69169518,64.74853816,71.37291547,82.11789199,97.12011076,90.37762971,86.0207578,89.01301185,105.2257329,99.35208592,132.5674544,137.7426631,160.125246,158.0389037,179.5804269,170.0092429
Dominica,303.8523586,322.2496204,343.1046409,352.8970246,365.3922299,378.0517404,387.356925,398.1189068,410.7982946,421.6060361,452.5981191,502.8865975,550.6276364,569.551072,591.6103342,730.6895096
Dominican Republic,201.998615,209.1059511,239.737654,264.2170609,286.0668898,325.517869,325.7235572,352.9139389,332.4335682,305.8087058,349.6473829,399.6877966,424.9350251,479.5257634,506.6457273,577.5724582
East Germany,,,,,,,,,,,,,,,,
Ecuador,189.1950456,207.6214167,216.7970866,215.1810508,222.0033858,201.4161369,237.5806245,295.113651,366.1123858,401.9035672,429.613186,472.9297126,507.2355441,551.4563009,691.6907416,653.1706615
Egypt,108.5176045,125.7658218,149.2348756,163.1626345,181.8767264,195.6689445,216.9648846,235.3812899,230.9951686,231.8830831,235.6828697,256.7312524,259.2736177,272.0953402,285.9964254,288.5670238
El Salvador,239.754274,291.9046037,330.5654613,349.9056646,352.9254766,367.1559267,372.3961965,378.6141165,375.7949116,387.6038209,406.6033588,403.102677,405.4091362,408.0200559,438.9108882,450.2527737
Equatorial Guinea,113.014636,114.1578155,171.7612543,258.6294717,157.8641849,148.1860018,246.113304,545.5349704,396.6268735,479.5866114,421.2410216,457.6173312,582.3897625,908.3163327,1559.561592,1544.960765
Eritrea,25.79121008,22.84065747,28.25887522,29.00802882,30.99511443,29.92731372,30.96985131,26.8690954,21.40364979,18.61359041,19.0797762,18.99229309,19.58627948,20.3268162,15.86027655,16.00678319
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,396.399171,452.9932658,492.1675278,467.5592471,573.8141545,596.1177689,590.9537499,664.1763175,753.3134468,857.5935664,827.5395635,954.7489283,1101.158202,1310.77789,1338.27711,1226.281207
Ethiopia,11.64028227,12.88811096,13.84281555,15.42646722,17.2358038,20.09554795,23.865644,23.9083838,24.28217025,24.41036162,26.15083555,29.75563108,38.15275101,38.12065097,42.09573184,50.62922701
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,91.72551805,101.6463105,108.2813611,99.82035078,107.6181866,132.5589117,116.6032888,129.5804258,128.3983076,149.2421013,155.9743681,173.361586,170.274637,167.7622991,196.7000785,198.3917102
Finland,1475.469816,1546.865248,1615.931184,1658.53064,1741.078305,1852.895044,1970.277765,2149.633182,2250.83971,2452.431742,2588.504217,2763.70254,2910.118106,3158.350101,3225.542117,3280.901857
