"","State.diff","State.lwr","State.upr","State.p.adj"
"VT-AR",5.39538601825633,4.15178665465319,6.63898538185947,0
"WA-AR",4.04850176382476,3.35499499140719,4.74200853624233,0
"WV-AR",0.0641067279529466,-0.820590844717299,0.948804300623192,1
"WY-AR",4.53411725312355,3.07238822451295,5.99584628173416,0
"CA-AZ",1.86627172782912,1.42692928684233,2.3056141688159,0
"CO-AZ",1.10121137905372,0.498344380015579,1.70407837809187,4.06092937055291e-10
"CT-AZ",1.73666274381792,1.07513986697316,2.39818562066267,4.68847183299204e-13
"DC-AZ",-1.95686332143947,-3.16527232459727,-0.748454318281669,1.30790570818107e-07
"DE-AZ",-0.570802715375976,-1.68628760340109,0.544682172649139,0.998450066187036
"FL-AZ",0.0101382734614219,-0.460399138094268,0.480675685017112,1
"GA-AZ",-1.74991685565189,-2.28385366066393,-1.21598005063985,0
"HI-AZ",2.95015150770864,1.98958648870633,3.91071652671095,0
"IA-AZ",0.699042351841499,0.0414100216969172,1.35667468198608,0.0194017722429116
"ID-AZ",0.720922226349444,-0.234107748627285,1.67595220132617,0.614258672199068
"IL-AZ",-0.199274483415039,-0.686939527321326,0.288390560491249,0.999995296701963
"IN-AZ",-1.59925354382788,-2.15847772941938,-1.04002935823639,0
"KS-AZ",-0.313843077502867,-0.992275840866062,0.364589685860329,0.999857205641066
"KY-AZ",-2.80034019544561,-3.40792379780667,-2.19275659308456,0
"LA-AZ",-2.99206713329094,-3.59997347948174,-2.38416078710015,0
"MA-AZ",1.97550355543126,1.41066065125627,2.54034645960625,0
"MD-AZ",0.334643451361103,-0.238746489882498,0.908033392604704,0.980553675425005
"MI-AZ",-1.02473436338255,-1.52210379325473,-0.527364933510364,8.29891710907305e-13
"MN-AZ",2.10416940203771,1.52798318307994,2.68035562099549,0
"MO-AZ",-1.40768596363952,-1.97933508752852,-0.83603683975053,5.07149877648772e-13
"MS-AZ",-3.33780074639714,-4.04729578185239,-2.62830571094188,0
"MT-AZ",0.454081420097836,-0.547395172548146,1.45555801274382,0.999914884356462
"NC-AZ",-0.967836985009995,-1.49037266471373,-0.445301305306263,1.9018797647874e-10
"ND-AZ",1.03218096760882,-0.0907249721420627,2.15508690735971,0.143258558155307
"NE-AZ",0.662165521207712,-0.108462423058132,1.43279346547356,0.273476551398267
"NH-AZ",1.59128625948007,0.630721240477759,2.55185127848238,4.87070119792321e-08
"NJ-AZ",1.22590271098275,0.69905120948959,1.75275421247591,5.24136289925536e-13
"NM-AZ",0.182011137439943,-0.61002332049357,0.974045595373456,1
"NV-AZ",-0.815583860155272,-1.53979878479963,-0.0913689355109092,0.00680090782205822
"NY-AZ",1.96213275323585,1.50213859699617,2.42212690947553,0
"OH-AZ",-1.79764254221629,-2.28927361529605,-1.30601146913654,0
"OK-AZ",-2.49440911234164,-3.11109825158821,-1.87771997309508,0
"OR-AZ",0.723155979856756,0.062159091608516,1.384152868105,0.0117239942590226
"PA-AZ",-0.303925115850305,-0.788117670748891,0.180267439048281,0.941222849036709
"RI-AZ",0.720525747827892,-0.33729316743504,1.77834466309082,0.841567632924048
"SC-AZ",-1.80148081265496,-2.41351335405041,-1.1894482712595,0
"SD-AZ",1.42281769929717,0.333102737644751,2.51253266094959,0.000217323935462921
"TN-AZ",-2.83441666552743,-3.40248673024834,-2.26634660080652,0
"TX-AZ",-0.500758248622105,-0.958990869606396,-0.0425256276378152,0.0119663169641232
"UT-AZ",1.00167580113352,0.251054256607284,1.75229734565975,0.000118083382216305
"VA-AZ",-0.0380634522400101,-0.579124334120709,0.502997429640689,1
"VT-AZ",2.65754360497135,1.48016780915685,3.83491940078585,3.26516591542259e-13
"WA-AZ",1.31065935053978,0.744420857672394,1.87689784340717,5.49782441794378e-13
"WV-AZ",-2.67373568533203,-3.46263630169909,-1.88483506896498,0
"WY-AZ",1.79627483983857,0.390456167143335,3.20209351253381,0.000387165949083279
"CO-CA",-0.765060348775393,-1.24183614845588,-0.288284549094907,1.92065297666133e-07
"CT-CA",-0.129608984011199,-0.678680073416451,0.419462105394053,1
"DC-CA",-3.82313504926859,-4.97383868771966,-2.67243141081751,0
"DE-CA",-2.43707444320509,-3.48977244360412,-1.38437644280606,5.50670620214078e-13
"FL-CA",-1.85613345436769,-2.14814715319917,-1.56411975553622,0
"GA-CA",-3.61618858348101,-4.00213554405742,-3.23024162290459,0
"HI-CA",1.08387977987952,0.19700227967861,1.97075728008044,0.00116942810245246
"IA-CA",-1.16722937598762,-1.71160684271737,-0.622851909257866,4.69846384021366e-13
"ID-CA",-1.14534950147967,-2.02622906063391,-0.264469942325436,0.000243490224690723
"IL-CA",-2.06554621124415,-2.38442509056957,-1.74666733191874,0
"IN-CA",-3.465525271657,-3.88576119870534,-3.04528934460866,0
"KS-CA",-2.18011480533198,-2.74944560463616,-1.61078400602781,0
"KY-CA",-4.66661192327473,-5.14933791023808,-4.18388593631138,0
"LA-CA",-4.85833886112006,-5.34147100698779,-4.37520671525233,0
"MA-CA",0.109231827602144,-0.31845269518135,0.536916350385639,1
"MD-CA",-1.53162827646801,-1.9705389386204,-1.09271761431562,0
"MI-CA",-2.89100609121166,-3.22453704090463,-2.5574751415187,0
"MN-CA",0.237897674208597,-0.204659783697791,0.680455132114985,0.995673277785437
"MO-CA",-3.27395769146864,-3.71059170923954,-2.83732367369773,0
"MS-CA",-5.20407247422625,-5.81008381897762,-4.59806112947488,0
"MT-CA",-1.41219030773128,-2.34322301942809,-0.481157596034469,1.7703726764573e-06
"NC-CA",-2.83410871283911,-3.20412233582501,-2.46409508985321,0
"ND-CA",-0.834090760220292,-1.89464924241707,0.226467721976485,0.502937615026321
"NE-CA",-1.2041062066214,-1.88066660534062,-0.527545807902184,1.59021418255634e-09
"NH-CA",-0.274985468349044,-1.16186296854996,0.61189203185187,0.999999999511761
"NJ-CA",-0.640369016846364,-1.0164528495982,-0.264285184094532,1.39049598502083e-08
"NM-CA",-1.68426059038917,-2.38510659857196,-0.983414582206388,3.79252185211953e-13
"NV-CA",-2.68185558798439,-3.30503598057497,-2.05867519539381,0
"NY-CA",0.0958610254067338,-0.178840937466426,0.370562988279893,0.999999968634334
"OH-CA",-3.66391427004541,-3.98882603752893,-3.33900250256189,0
"OK-CA",-4.36068084017076,-4.85481851238001,-3.8665431679615,0
"OR-CA",-1.14311574797236,-1.69155301047881,-0.594678485465912,6.5492056222638e-13
"PA-CA",-2.17019684367942,-2.483739464149,-1.85665422320984,0
"RI-CA",-1.14574598000122,-2.13713258578111,-0.15435937422134,0.00403879393628315
"SC-CA",-3.66775254048407,-4.15606634978982,-3.17943873117833,0
"SD-CA",-0.443454028531946,-1.4688053060368,0.581897248972911,0.999976147495636
"TN-CA",-4.70068839335654,-5.13262605444172,-4.26875073227137,0
"TX-CA",-2.36702997645122,-2.63877191205528,-2.09528804084716,0
"UT-CA",-0.8645959266956,-1.51827723110827,-0.210914622282926,0.000151926982772443
"VA-CA",-1.90433518006913,-2.30007931778089,-1.50859104235736,0
"VT-CA",0.791271877142236,-0.326798026397582,1.90934178068205,0.76923545276473
"WA-CA",-0.555612377289336,-0.985138366533802,-0.126086388044869,0.000279760556780584
"WV-CA",-4.54000741316115,-5.23730987776028,-3.84270494856202,0
"WY-CA",-0.0699968879905413,-1.4265339074376,1.28654013145652,1
"CT-CO",0.635451364764194,-0.0515027088809833,1.32240543840937,0.133680120712062
"DC-CO",-3.05807470049319,-4.28059083601925,-1.83555856496713,4.06341627012807e-13
"DE-CO",-1.6720140944297,-2.80276602041574,-0.541262168443656,4.46330305625686e-06
"FL-CO",-1.0910731055923,-1.5967398321843,-0.585406379000299,4.42756942220512e-13
"GA-CO",-2.85112823470561,-3.41626706230039,-2.28598940711083,0
"HI-CO",1.84894012865492,0.870687329814221,2.82719292749561,6.08385564149216e-11
"IA-CO",-0.402169027212224,-1.08537738808037,0.281039333655918,0.977603416450292
"ID-CO",-0.380289152704279,-1.35310755087158,0.592529245463022,0.999998764153053
"IL-CO",-1.30048586246876,-1.82212805569786,-0.778843669239663,4.25770529943748e-13
"IN-CO",-2.70046492288161,-3.28955326299641,-2.11137658276681,0
"KS-CO",-1.41505445655659,-2.11830718290279,-0.711801730210389,1.94744220749499e-12
"KY-CO",-3.90155157449934,-4.53672967280467,-3.26637347619401,0
"LA-CO",-4.09327851234467,-4.7287653402552,-3.45779168443414,0
"MA-CO",0.874292176377537,0.279867337473931,1.46871701528114,5.38381008108324e-06
"MD-CO",-0.76656792769262,-1.36912033821645,-0.164015517168787,0.000433403435722957
"MI-CO",-2.12594574243627,-2.65667140836937,-1.59522007650318,0
"MN-CO",1.00295802298399,0.397744059475548,1.60817198649243,4.79539047359978e-08
"MO-CO",-2.50889734269325,-3.10979342651456,-1.90800125887193,0
"MS-CO",-4.43901212545086,-5.17227646253838,-3.70574778836334,0
"MT-CO",-0.647129958955887,-1.66558405626541,0.371324138353633,0.930693052394019
"NC-CO",-2.06904836406372,-2.62342812494265,-1.51466860318478,0
"ND-CO",-0.0690304114448992,-1.20710384151721,1.06904301862742,1
"NE-CO",-0.439045857846011,-1.23161182430694,0.353520108614915,0.99227035168748
"NH-CO",0.490074880426349,-0.488177918414347,1.46832767926704,0.999031599401096
"NJ-CO",0.124691331929029,-0.433758206824779,0.683140870682836,1
"NM-CO",-0.91920024161378,-1.73259557308721,-0.105804910140346,0.00635399904804035
"NV-CO",-1.91679523920899,-2.66431155326935,-1.16927892514864,4.22550883172335e-13
"NY-CO",0.860921374182126,0.365050416690765,1.35679233167349,5.48436607239466e-09
"OH-CO",-2.89885392127002,-3.42420570315174,-2.3735021393883,0
"OK-CO",-3.59562049139537,-4.23951402077225,-2.95172696201849,0
"OR-CO",-0.378055399196967,-1.06450297110803,0.308392172714099,0.993072325027655
"PA-CO",-1.40513649490403,-1.92353384532932,-0.886739144478736,4.60853577521902e-13
"RI-CO",-0.38068563122583,-1.45459169797319,0.693220435521531,0.99999994680063
"SC-CO",-2.90269219170868,-3.54212726615778,-2.26325711725958,0
"SD-CO",0.321606320243447,-0.78373167347516,1.42694431396205,0.999999999954315
"TN-CO",-3.93562804458115,-4.53312028816324,-3.33813580099906,0
"TX-CO",-1.60196962767583,-2.09620693671155,-1.1077323186401,0
"UT-CO",-0.0995355779202072,-0.872663048532711,0.673591892692297,1
"VA-CO",-1.13927483129373,-1.71114917117118,-0.567400491416289,3.15625303670686e-12
"VT-CO",1.55633222591763,0.364481921861549,2.74818252997371,0.000216719542096788
